Time in s	CH I in Volt	CH II in Volt	
0.E+0	-1.12E+00	1.58E-01	
5.E-7	-1.12E+00	1.56E-01	
1.E-6	-1.04E+00	1.64E-01	
1.5E-6	-1.12E+00	1.64E-01	
2.E-6	-1.08E+00	1.58E-01	
2.5E-6	-8.80E-01	1.56E-01	
3.E-6	-8.00E-01	1.68E-01	
3.5E-6	-8.40E-01	1.64E-01	
4.E-6	-8.00E-01	1.64E-01	
4.5E-6	-8.40E-01	1.60E-01	
5.E-6	-6.80E-01	1.60E-01	
5.5E-6	-6.40E-01	1.54E-01	
6.E-6	-6.80E-01	1.58E-01	
6.5E-6	-6.40E-01	1.54E-01	
7.E-6	-5.60E-01	1.44E-01	
7.5E-6	-4.80E-01	1.50E-01	
8.E-6	-3.60E-01	1.52E-01	
8.5E-6	-3.60E-01	1.56E-01	
9.E-6	-3.60E-01	1.58E-01	
9.5E-6	-2.40E-01	1.58E-01	
1.E-5	-2.80E-01	1.44E-01	
1.05E-5	-2.80E-01	1.34E-01	
1.1E-5	-4.40E-01	1.50E-01	
1.15E-5	-4.00E-01	1.48E-01	
1.2E-5	-2.80E-01	1.46E-01	
1.25E-5	-2.40E-01	1.56E-01	
1.3E-5	-2.00E-01	1.48E-01	
1.35E-5	-2.00E-01	1.48E-01	
1.4E-5	-3.20E-01	1.52E-01	
1.45E-5	-3.60E-01	1.50E-01	
1.5E-5	-3.20E-01	1.54E-01	
1.55E-5	-3.20E-01	1.66E-01	
1.6E-5	-4.40E-01	1.60E-01	
1.65E-5	-4.80E-01	1.62E-01	
1.7E-5	-4.00E-01	1.64E-01	
1.75E-5	-5.20E-01	1.52E-01	
1.8E-5	-6.40E-01	1.62E-01	
1.85E-5	-4.80E-01	1.76E-01	
1.9E-5	-5.20E-01	1.64E-01	
1.95E-5	-6.00E-01	1.54E-01	
2.E-5	-5.60E-01	1.70E-01	
2.05E-5	-8.00E-01	1.80E-01	
2.1E-5	-8.00E-01	1.72E-01	
2.15E-5	-7.20E-01	1.68E-01	
2.2E-5	-7.60E-01	1.66E-01	
2.25E-5	-8.00E-01	1.72E-01	
2.3E-5	-7.20E-01	1.86E-01	
2.35E-5	-7.60E-01	1.80E-01	
2.4E-5	-7.20E-01	1.76E-01	
2.45E-5	-7.60E-01	1.72E-01	
