Time in s	CH I in Volt	CH II in Volt	
0.E+0	-1.00E-01	8.00E-02	
5.E-7	-1.60E-01	8.00E-02	
1.E-6	-1.40E-01	8.00E-02	
1.5E-6	-6.00E-02	8.00E-02	
2.E-6	-6.00E-02	8.00E-02	
2.5E-6	-1.20E-01	8.00E-02	
3.E-6	-1.40E-01	8.00E-02	
3.5E-6	-1.40E-01	8.00E-02	
4.E-6	-1.20E-01	8.00E-02	
4.5E-6	-1.00E-01	8.00E-02	
5.E-6	-8.00E-02	8.00E-02	
5.5E-6	-1.20E-01	8.00E-02	
6.E-6	-1.20E-01	8.00E-02	
6.5E-6	-1.00E-01	8.00E-02	
7.E-6	-1.00E-01	8.00E-02	
7.5E-6	-1.20E-01	8.00E-02	
8.E-6	-1.00E-01	8.00E-02	
8.5E-6	-1.00E-01	8.00E-02	
9.E-6	-1.00E-01	8.00E-02	
9.5E-6	-1.00E-01	8.00E-02	
1.E-5	-8.00E-02	8.00E-02	
1.05E-5	-8.00E-02	8.00E-02	
1.1E-5	-1.00E-01	8.00E-02	
1.15E-5	-1.00E-01	8.00E-02	
1.2E-5	-1.40E-01	8.00E-02	
1.25E-5	-1.00E-01	8.00E-02	
1.3E-5	-8.00E-02	8.00E-02	
1.35E-5	-1.00E-01	8.00E-02	
1.4E-5	-1.20E-01	8.00E-02	
1.45E-5	-1.00E-01	8.00E-02	
1.5E-5	-1.00E-01	8.00E-02	
1.55E-5	-1.00E-01	8.00E-02	
1.6E-5	-1.20E-01	8.00E-02	
1.65E-5	-8.00E-02	8.00E-02	
1.7E-5	-8.00E-02	8.00E-02	
1.75E-5	-8.00E-02	8.00E-02	
1.8E-5	-1.00E-01	8.00E-02	
1.85E-5	-1.00E-01	8.00E-02	
1.9E-5	-1.00E-01	8.00E-02	
1.95E-5	-8.00E-02	8.00E-02	
2.E-5	-1.20E-01	8.00E-02	
2.05E-5	-1.00E-01	8.00E-02	
2.1E-5	-1.20E-01	8.00E-02	
2.15E-5	-1.20E-01	8.00E-02	
2.2E-5	-1.00E-01	8.00E-02	
2.25E-5	-8.00E-02	8.00E-02	
2.3E-5	-1.20E-01	8.00E-02	
2.35E-5	-1.20E-01	8.00E-02	
2.4E-5	-8.00E-02	8.00E-02	
2.45E-5	-6.00E-02	8.00E-02	
2.5E-5	-8.00E-02	8.00E-02	
2.55E-5	-8.00E-02	8.00E-02	
2.6E-5	-1.00E-01	8.00E-02	
2.65E-5	-1.20E-01	8.00E-02	
2.7E-5	-1.00E-01	8.00E-02	
2.75E-5	-8.00E-02	8.00E-02	
2.8E-5	-1.00E-01	8.00E-02	
2.85E-5	-8.00E-02	8.00E-02	
2.9E-5	-8.00E-02	8.00E-02	
2.95E-5	-1.00E-01	8.00E-02	
3.E-5	-8.00E-02	8.00E-02	
3.05E-5	-1.00E-01	8.00E-02	
3.1E-5	-8.00E-02	8.00E-02	
3.15E-5	-6.00E-02	8.00E-02	
3.2E-5	-8.00E-02	8.00E-02	
3.25E-5	-1.00E-01	8.00E-02	
3.3E-5	-8.00E-02	8.00E-02	
3.35E-5	-1.00E-01	8.00E-02	
3.4E-5	-1.00E-01	8.00E-02	
3.45E-5	-8.00E-02	8.00E-02	
3.5E-5	-8.00E-02	8.00E-02	
3.55E-5	-1.00E-01	8.00E-02	
