Time in s	CH I in Volt	
0.E+0	-1.52E+00	
1.E-5	-1.52E+00	
2.E-5	-1.52E+00	
3.E-5	-1.52E+00	
4.E-5	-1.52E+00	
5.E-5	-1.52E+00	
6.E-5	-1.52E+00	
7.E-5	-1.52E+00	
8.E-5	-1.52E+00	
9.E-5	-1.52E+00	
1.E-4	-1.52E+00	
1.1E-4	-1.52E+00	
1.2E-4	-1.52E+00	
1.3E-4	-1.52E+00	
1.4E-4	-1.52E+00	
1.5E-4	-1.52E+00	
1.6E-4	-1.52E+00	
1.7E-4	-1.52E+00	
1.8E-4	-1.52E+00	
1.9E-4	-1.52E+00	
2.E-4	-1.52E+00	
2.1E-4	-1.52E+00	
2.2E-4	-1.52E+00	
2.3E-4	-1.52E+00	
2.4E-4	-1.52E+00	
2.5E-4	-1.52E+00	
2.6E-4	-1.52E+00	
2.7E-4	-1.52E+00	
2.8E-4	-1.52E+00	
2.9E-4	-1.52E+00	
3.E-4	-1.52E+00	
3.1E-4	-1.52E+00	
3.2E-4	-1.52E+00	
3.3E-4	-1.52E+00	
3.4E-4	-1.52E+00	
3.5E-4	-1.52E+00	
3.6E-4	-1.52E+00	
3.7E-4	-1.52E+00	
3.8E-4	-1.52E+00	
3.9E-4	-1.52E+00	
4.E-4	-1.52E+00	
4.1E-4	-1.52E+00	
4.2E-4	-1.52E+00	
4.3E-4	-1.52E+00	
4.4E-4	-1.52E+00	
4.5E-4	-1.52E+00	
4.6E-4	-1.52E+00	
4.7E-4	-1.52E+00	
4.8E-4	-1.52E+00	
4.9E-4	-1.52E+00	
5.E-4	-1.52E+00	
5.1E-4	-1.52E+00	
5.2E-4	-1.52E+00	
5.3E-4	-1.52E+00	
5.4E-4	-1.52E+00	
5.5E-4	-1.52E+00	
5.6E-4	-1.50E+00	
5.7E-4	-1.52E+00	
5.8E-4	-1.52E+00	
5.9E-4	-1.52E+00	
6.E-4	-1.52E+00	
6.1E-4	-1.52E+00	
6.2E-4	-1.52E+00	
6.3E-4	-1.52E+00	
6.4E-4	-1.50E+00	
6.5E-4	-1.50E+00	
6.6E-4	-1.52E+00	
6.7E-4	-1.52E+00	
6.8E-4	-1.52E+00	
6.9E-4	-1.50E+00	
7.E-4	-1.50E+00	
7.1E-4	-1.50E+00	
7.2E-4	-1.52E+00	
7.3E-4	-1.50E+00	
7.4E-4	-1.52E+00	
7.5E-4	-1.50E+00	
7.6E-4	-1.52E+00	
7.7E-4	-1.50E+00	
7.8E-4	-1.50E+00	
7.9E-4	-1.52E+00	
8.E-4	-1.52E+00	
8.1E-4	-1.50E+00	
8.2E-4	-1.50E+00	
8.3E-4	-1.50E+00	
8.4E-4	-1.52E+00	
8.5E-4	-1.50E+00	
8.6E-4	-1.52E+00	
