Time in s	CH I in Volt	CH II in Volt	
0.E+0	-2.40E+00	2.80E-04	
1.E-6	-2.44E+00	-1.20E-03	
2.E-6	-2.44E+00	-9.20E-04	
3.E-6	-2.40E+00	-7.60E-04	
4.E-6	-2.40E+00	-8.80E-04	
5.E-6	-2.44E+00	-2.00E-04	
6.E-6	-2.40E+00	-1.20E-04	
7.E-6	-2.40E+00	-4.00E-04	
8.E-6	-2.40E+00	-2.80E-04	
9.E-6	-2.40E+00	-9.20E-04	
1.E-5	-2.40E+00	-2.40E-04	
1.1E-5	-2.40E+00	-8.00E-04	
1.2E-5	-2.40E+00	-1.48E-03	
1.3E-5	-2.40E+00	-5.20E-04	
1.4E-5	-2.44E+00	-2.80E-04	
1.5E-5	-2.40E+00	-5.60E-04	
1.6E-5	-2.40E+00	-4.40E-04	
1.7E-5	-2.40E+00	-4.80E-04	
1.8E-5	-2.40E+00	1.60E-04	
1.9E-5	-2.44E+00	-6.80E-04	
2.E-5	-2.40E+00	7.20E-04	
2.1E-5	-2.40E+00	-4.80E-04	
2.2E-5	-2.44E+00	-8.00E-04	
2.3E-5	-2.40E+00	-4.40E-04	
2.4E-5	-2.44E+00	-7.20E-04	
2.5E-5	-2.40E+00	-6.40E-04	
2.6E-5	-2.36E+00	2.40E-04	
2.7E-5	-2.44E+00	-6.80E-04	
2.8E-5	-2.40E+00	-6.80E-04	
2.9E-5	-2.40E+00	-1.00E-03	
3.E-5	-2.40E+00	-1.04E-03	
3.1E-5	-2.40E+00	-9.60E-04	
3.2E-5	-2.40E+00	-1.44E-03	
3.3E-5	-2.44E+00	3.60E-04	
3.4E-5	-2.40E+00	-5.20E-04	
3.5E-5	-2.40E+00	-1.00E-03	
3.6E-5	-2.40E+00	-6.80E-04	
3.7E-5	-2.44E+00	-7.20E-04	
3.8E-5	-2.40E+00	-1.20E-03	
3.9E-5	-2.40E+00	6.80E-04	
4.E-5	-2.40E+00	-3.20E-04	
4.1E-5	-2.44E+00	1.20E-04	
4.2E-5	-2.40E+00	-3.20E-04	
4.3E-5	-2.40E+00	-8.00E-04	
4.4E-5	-2.40E+00	-2.00E-04	
4.5E-5	-2.40E+00	-6.40E-04	
4.6E-5	-2.44E+00	-7.20E-04	
4.7E-5	-2.40E+00	-2.80E-04	
4.8E-5	-2.40E+00	-1.04E-03	
4.9E-5	-2.40E+00	-8.40E-04	
5.E-5	-2.40E+00	4.00E-05	
5.1E-5	-2.40E+00	-8.40E-04	
5.2E-5	-2.40E+00	-2.40E-04	
5.3E-5	-2.40E+00	-7.20E-04	
5.4E-5	-2.40E+00	-2.80E-04	
5.5E-5	-2.44E+00	-6.80E-04	
5.6E-5	-2.40E+00	-4.00E-05	
5.7E-5	-2.40E+00	-7.20E-04	
5.8E-5	-2.44E+00	-4.40E-04	
5.9E-5	-2.40E+00	-7.60E-04	
6.E-5	-2.40E+00	-1.08E-03	
6.1E-5	-2.40E+00	-2.00E-04	
6.2E-5	-2.40E+00	-4.00E-04	
6.3E-5	-2.40E+00	-1.00E-03	
6.4E-5	-2.40E+00	-8.00E-05	
6.5E-5	-2.40E+00	-6.40E-04	
6.6E-5	-2.40E+00	-4.80E-04	
6.7E-5	-2.40E+00	-3.60E-04	
6.8E-5	-2.40E+00	-5.60E-04	
6.9E-5	-2.44E+00	-7.60E-04	
7.E-5	-2.40E+00	-5.20E-04	
7.1E-5	-2.40E+00	-1.36E-03	
7.2E-5	-2.44E+00	-8.40E-04	
7.3E-5	-2.40E+00	-1.04E-03	
7.4E-5	-2.44E+00	2.00E-04	
7.5E-5	-2.40E+00	-5.20E-04	
