Time in s	CH I in Volt	CH II in Volt	
0.E+0	7.00E-01	0.00E+00	
5.E-6	7.00E-01	0.00E+00	
1.E-5	7.00E-01	8.00E-02	
1.5E-5	7.00E-01	1.20E-01	
2.E-5	7.00E-01	6.00E-02	
2.5E-5	7.00E-01	6.00E-02	
3.E-5	7.00E-01	1.40E-01	
3.5E-5	7.00E-01	1.20E-01	
4.E-5	7.00E-01	6.00E-02	
4.5E-5	7.00E-01	-2.00E-02	
5.E-5	7.00E-01	8.00E-02	
5.5E-5	7.00E-01	1.40E-01	
6.E-5	7.00E-01	8.00E-02	
6.5E-5	7.00E-01	6.00E-02	
7.E-5	7.00E-01	1.40E-01	
7.5E-5	7.00E-01	1.00E-01	
8.E-5	7.00E-01	6.00E-02	
8.5E-5	7.00E-01	6.00E-02	
9.E-5	7.00E-01	1.40E-01	
9.5E-5	7.00E-01	4.00E-02	
1.E-4	7.00E-01	6.00E-02	
1.05E-4	7.00E-01	4.00E-02	
1.1E-4	7.00E-01	2.00E-02	
1.15E-4	7.00E-01	2.00E-02	
1.2E-4	7.00E-01	4.00E-02	
1.25E-4	7.00E-01	1.40E-01	
1.3E-4	-9.40E-01	8.00E-02	
1.35E-4	-9.80E-01	6.00E-02	
1.4E-4	-9.80E-01	6.00E-02	
1.45E-4	-1.00E+00	6.00E-02	
1.5E-4	-1.00E+00	2.00E-02	
1.55E-4	-9.80E-01	1.20E-01	
1.6E-4	-9.80E-01	6.00E-02	
1.65E-4	-9.80E-01	4.00E-02	
1.7E-4	-1.00E+00	1.40E-01	
1.75E-4	-1.00E+00	1.40E-01	
1.8E-4	-1.00E+00	1.60E-01	
1.85E-4	-1.00E+00	1.20E-01	
1.9E-4	-1.00E+00	8.00E-02	
1.95E-4	-1.00E+00	4.00E-02	
2.E-4	-1.00E+00	2.00E-02	
2.05E-4	-1.00E+00	1.20E-01	
2.1E-4	-1.00E+00	1.20E-01	
2.15E-4	-1.00E+00	6.00E-02	
2.2E-4	-1.00E+00	1.40E-01	
2.25E-4	-1.00E+00	4.00E-02	
2.3E-4	-1.00E+00	8.00E-02	
2.35E-4	-1.00E+00	6.00E-02	
2.4E-4	-1.00E+00	8.00E-02	
2.45E-4	-1.00E+00	8.00E-02	
2.5E-4	-1.00E+00	6.00E-02	
2.55E-4	-1.00E+00	0.00E+00	
2.6E-4	-1.00E+00	1.60E-01	
2.65E-4	-1.00E+00	1.00E-01	
2.7E-4	-1.00E+00	8.00E-02	
2.75E-4	-1.00E+00	1.40E-01	
2.8E-4	-1.00E+00	6.00E-02	
2.85E-4	-1.00E+00	1.00E-01	
2.9E-4	-1.00E+00	1.00E-01	
2.95E-4	-1.00E+00	1.20E-01	
3.E-4	-1.00E+00	2.00E-02	
3.05E-4	-1.00E+00	6.00E-02	
3.1E-4	-1.00E+00	6.00E-02	
3.15E-4	-1.00E+00	2.00E-02	
3.2E-4	-1.00E+00	1.00E-01	
3.25E-4	-1.00E+00	8.00E-02	
3.3E-4	-1.00E+00	1.20E-01	
3.35E-4	-1.00E+00	1.20E-01	
3.4E-4	-1.00E+00	6.00E-02	
3.45E-4	-9.80E-01	1.20E-01	
3.5E-4	-1.00E+00	1.40E-01	
3.55E-4	-9.80E-01	1.00E-01	
3.6E-4	-1.00E+00	8.00E-02	
3.65E-4	-9.80E-01	6.00E-02	
3.7E-4	-1.00E+00	4.00E-02	
3.75E-4	-9.80E-01	1.20E-01	
3.8E-4	-9.80E-01	1.60E-01	
3.85E-4	-9.80E-01	1.20E-01	
3.9E-4	-9.80E-01	1.20E-01	
3.95E-4	-9.80E-01	1.20E-01	
4.E-4	-9.80E-01	1.20E-01	
4.05E-4	-9.80E-01	4.00E-02	
4.1E-4	-9.80E-01	8.00E-02	
4.15E-4	-9.80E-01	1.00E-01	
4.2E-4	-9.80E-01	4.00E-02	
4.25E-4	-9.80E-01	1.00E-01	
4.3E-4	-9.80E-01	8.00E-02	
4.35E-4	-9.80E-01	1.20E-01	
4.4E-4	-9.80E-01	2.00E-02	
4.45E-4	-9.80E-01	1.40E-01	
4.5E-4	-9.60E-01	2.00E-02	
