Time in s	CH I in Volt	CH II in Volt	
0.E+0	8.00E-01	1.12E+00	
1.E-6	8.40E-01	1.12E+00	
2.E-6	8.20E-01	1.12E+00	
3.E-6	8.20E-01	1.12E+00	
4.E-6	8.20E-01	1.12E+00	
5.E-6	8.40E-01	1.12E+00	
6.E-6	8.60E-01	1.12E+00	
7.E-6	8.40E-01	1.12E+00	
8.E-6	8.60E-01	1.12E+00	
9.E-6	8.40E-01	1.12E+00	
1.E-5	8.60E-01	1.12E+00	
1.1E-5	8.60E-01	1.12E+00	
1.2E-5	8.60E-01	1.12E+00	
1.3E-5	8.80E-01	1.12E+00	
1.4E-5	8.80E-01	1.12E+00	
1.5E-5	8.80E-01	1.12E+00	
1.6E-5	8.80E-01	1.12E+00	
1.7E-5	8.80E-01	1.12E+00	
1.8E-5	8.80E-01	1.12E+00	
1.9E-5	8.80E-01	1.12E+00	
2.E-5	8.80E-01	1.12E+00	
2.1E-5	9.00E-01	1.12E+00	
2.2E-5	9.00E-01	1.12E+00	
2.3E-5	9.00E-01	1.12E+00	
2.4E-5	9.20E-01	1.12E+00	
2.5E-5	9.00E-01	1.12E+00	
2.6E-5	9.00E-01	1.12E+00	
2.7E-5	9.00E-01	1.12E+00	
2.8E-5	9.00E-01	1.12E+00	
2.9E-5	9.20E-01	1.12E+00	
3.E-5	9.20E-01	1.12E+00	
3.1E-5	9.00E-01	1.12E+00	
3.2E-5	9.20E-01	1.13E+00	
3.3E-5	9.20E-01	1.12E+00	
3.4E-5	9.20E-01	1.12E+00	
3.5E-5	9.20E-01	1.12E+00	
3.6E-5	9.40E-01	1.13E+00	
3.7E-5	9.40E-01	1.13E+00	
3.8E-5	9.40E-01	1.13E+00	
3.9E-5	9.60E-01	1.12E+00	
4.E-5	9.60E-01	1.13E+00	
4.1E-5	9.60E-01	1.13E+00	
4.2E-5	9.80E-01	1.13E+00	
4.3E-5	9.80E-01	1.13E+00	
4.4E-5	1.00E+00	1.13E+00	
4.5E-5	1.00E+00	1.13E+00	
4.6E-5	1.02E+00	1.13E+00	
4.7E-5	1.02E+00	1.13E+00	
4.8E-5	1.04E+00	1.13E+00	
4.9E-5	1.04E+00	1.13E+00	
5.E-5	1.04E+00	1.13E+00	
5.1E-5	1.08E+00	1.13E+00	
5.2E-5	1.08E+00	1.13E+00	
5.3E-5	1.08E+00	1.13E+00	
5.4E-5	1.10E+00	1.13E+00	
5.5E-5	1.10E+00	1.13E+00	
5.6E-5	1.12E+00	1.13E+00	
5.7E-5	1.10E+00	1.13E+00	
5.8E-5	1.12E+00	1.13E+00	
5.9E-5	1.12E+00	1.13E+00	
6.E-5	1.12E+00	1.13E+00	
