Time in s	CH I in Volt	CH II in Volt	
0.E+0	2.08E+00	1.04E-02	
2.5E-8	2.08E+00	1.04E-02	
5.E-8	2.08E+00	1.04E-02	
7.5E-8	2.08E+00	1.04E-02	
1.E-7	2.08E+00	1.04E-02	
1.25E-7	2.08E+00	1.04E-02	
1.5E-7	2.08E+00	1.04E-02	
1.75E-7	2.08E+00	1.04E-02	
2.E-7	2.08E+00	1.04E-02	
2.25E-7	2.08E+00	1.12E-02	
2.5E-7	2.08E+00	1.12E-02	
2.75E-7	2.08E+00	1.12E-02	
3.E-7	2.08E+00	1.12E-02	
3.25E-7	2.08E+00	1.12E-02	
3.5E-7	2.08E+00	1.12E-02	
3.75E-7	2.08E+00	1.12E-02	
4.E-7	2.08E+00	1.12E-02	
4.25E-7	2.08E+00	1.12E-02	
4.5E-7	2.08E+00	1.12E-02	
4.75E-7	2.08E+00	1.12E-02	
5.E-7	2.08E+00	1.12E-02	
5.25E-7	2.08E+00	1.20E-02	
5.5E-7	2.08E+00	1.20E-02	
5.75E-7	2.08E+00	1.20E-02	
6.E-7	2.08E+00	1.20E-02	
6.25E-7	2.08E+00	1.20E-02	
6.5E-7	2.08E+00	1.20E-02	
6.75E-7	2.08E+00	1.28E-02	
7.E-7	2.08E+00	1.28E-02	
7.25E-7	2.08E+00	1.28E-02	
7.5E-7	2.08E+00	1.28E-02	
7.75E-7	2.08E+00	1.28E-02	
8.E-7	2.08E+00	1.28E-02	
8.25E-7	2.08E+00	1.28E-02	
8.5E-7	2.08E+00	1.28E-02	
8.75E-7	2.08E+00	1.28E-02	
9.E-7	2.08E+00	1.20E-02	
9.25E-7	2.08E+00	1.20E-02	
9.5E-7	2.08E+00	1.20E-02	
9.75E-7	2.08E+00	1.20E-02	
1.E-6	2.08E+00	1.12E-02	
1.025E-6	2.08E+00	1.12E-02	
1.05E-6	2.08E+00	1.12E-02	
1.075E-6	2.08E+00	1.12E-02	
1.1E-6	2.08E+00	1.12E-02	
1.125E-6	2.08E+00	1.12E-02	
1.15E-6	2.08E+00	1.12E-02	
1.175E-6	2.08E+00	1.12E-02	
1.2E-6	2.08E+00	1.12E-02	
1.225E-6	2.08E+00	1.12E-02	
1.25E-6	2.08E+00	1.12E-02	
1.275E-6	2.08E+00	1.12E-02	
1.3E-6	2.08E+00	1.12E-02	
1.325E-6	2.08E+00	1.12E-02	
1.35E-6	2.08E+00	1.12E-02	
1.375E-6	2.08E+00	1.04E-02	
1.4E-6	2.08E+00	1.04E-02	
1.425E-6	2.08E+00	1.04E-02	
1.45E-6	2.08E+00	1.04E-02	
1.475E-6	2.08E+00	9.60E-03	
1.5E-6	2.08E+00	9.60E-03	
1.525E-6	2.08E+00	9.60E-03	
1.55E-6	2.08E+00	9.60E-03	
1.575E-6	2.08E+00	8.80E-03	
1.6E-6	2.08E+00	8.80E-03	
1.625E-6	2.08E+00	8.80E-03	
1.65E-6	2.08E+00	8.80E-03	
1.675E-6	2.08E+00	8.00E-03	
1.7E-6	2.08E+00	8.00E-03	
1.725E-6	2.08E+00	8.00E-03	
1.75E-6	2.08E+00	8.00E-03	
1.775E-6	2.08E+00	8.00E-03	
1.8E-6	2.08E+00	8.00E-03	
1.825E-6	2.08E+00	8.80E-03	
1.85E-6	2.08E+00	8.80E-03	
1.875E-6	2.08E+00	8.80E-03	
1.9E-6	2.08E+00	8.80E-03	
1.925E-6	2.08E+00	8.80E-03	
1.95E-6	2.08E+00	9.60E-03	
1.975E-6	2.08E+00	9.60E-03	
2.E-6	2.08E+00	9.60E-03	
2.025E-6	2.08E+00	1.04E-02	
2.05E-6	2.08E+00	1.04E-02	
2.075E-6	2.08E+00	1.04E-02	
2.1E-6	2.08E+00	1.04E-02	
2.125E-6	2.08E+00	1.04E-02	
2.15E-6	2.08E+00	1.04E-02	
2.175E-6	2.08E+00	1.04E-02	
2.2E-6	2.08E+00	1.12E-02	
2.225E-6	2.08E+00	1.12E-02	
2.25E-6	2.08E+00	1.12E-02	
2.275E-6	2.08E+00	1.12E-02	
2.3E-6	2.08E+00	1.12E-02	
2.325E-6	2.08E+00	1.12E-02	
2.35E-6	2.08E+00	1.12E-02	
2.375E-6	2.08E+00	1.12E-02	
2.4E-6	2.08E+00	1.20E-02	
2.425E-6	2.08E+00	1.20E-02	
2.45E-6	2.08E+00	1.20E-02	
2.475E-6	2.08E+00	1.20E-02	
2.5E-6	2.08E+00	1.20E-02	
2.525E-6	2.08E+00	1.20E-02	
2.55E-6	2.08E+00	1.20E-02	
2.575E-6	2.08E+00	1.20E-02	
2.6E-6	2.08E+00	1.20E-02	
2.625E-6	2.08E+00	1.20E-02	
2.65E-6	2.08E+00	1.20E-02	
2.675E-6	2.08E+00	1.20E-02	
2.7E-6	2.08E+00	1.20E-02	
2.725E-6	2.08E+00	1.20E-02	
2.75E-6	2.08E+00	1.20E-02	
2.775E-6	2.08E+00	1.12E-02	
2.8E-6	2.08E+00	1.12E-02	
2.825E-6	2.08E+00	1.12E-02	
2.85E-6	2.08E+00	1.12E-02	
2.875E-6	2.08E+00	1.12E-02	
2.9E-6	2.08E+00	1.12E-02	
2.925E-6	2.08E+00	1.12E-02	
2.95E-6	2.08E+00	1.12E-02	
2.975E-6	2.08E+00	1.20E-02	
3.E-6	2.08E+00	1.20E-02	
3.025E-6	2.08E+00	1.20E-02	
3.05E-6	2.08E+00	1.20E-02	
3.075E-6	2.08E+00	1.20E-02	
3.1E-6	2.08E+00	1.28E-02	
3.125E-6	2.08E+00	1.28E-02	
3.15E-6	2.08E+00	1.28E-02	
3.175E-6	2.08E+00	1.28E-02	
3.2E-6	2.08E+00	1.28E-02	
3.225E-6	2.08E+00	1.28E-02	
3.25E-6	2.08E+00	1.20E-02	
3.275E-6	2.08E+00	1.20E-02	
3.3E-6	2.08E+00	1.20E-02	
3.325E-6	2.08E+00	1.20E-02	
3.35E-6	2.08E+00	1.20E-02	
3.375E-6	2.08E+00	1.12E-02	
3.4E-6	2.08E+00	1.12E-02	
3.425E-6	2.08E+00	1.12E-02	
3.45E-6	2.08E+00	1.04E-02	
3.475E-6	2.08E+00	1.04E-02	
3.5E-6	2.08E+00	1.04E-02	
3.525E-6	2.08E+00	9.60E-03	
3.55E-6	2.08E+00	9.60E-03	
3.575E-6	2.08E+00	9.60E-03	
3.6E-6	2.08E+00	9.60E-03	
3.625E-6	2.08E+00	9.60E-03	
3.65E-6	2.08E+00	9.60E-03	
3.675E-6	2.08E+00	9.60E-03	
3.7E-6	2.08E+00	9.60E-03	
3.725E-6	2.08E+00	9.60E-03	
3.75E-6	2.08E+00	9.60E-03	
3.775E-6	2.08E+00	9.60E-03	
3.8E-6	2.08E+00	9.60E-03	
3.825E-6	2.08E+00	1.04E-02	
3.85E-6	2.08E+00	1.04E-02	
3.875E-6	2.08E+00	1.04E-02	
3.9E-6	2.08E+00	1.04E-02	
3.925E-6	2.08E+00	1.04E-02	
3.95E-6	2.08E+00	1.04E-02	
3.975E-6	2.08E+00	1.04E-02	
4.E-6	2.08E+00	1.04E-02	
4.025E-6	2.08E+00	1.04E-02	
4.05E-6	2.08E+00	1.12E-02	
4.075E-6	2.08E+00	1.12E-02	
4.1E-6	2.08E+00	1.12E-02	
4.125E-6	2.08E+00	1.12E-02	
4.15E-6	2.08E+00	1.12E-02	
4.175E-6	2.08E+00	1.12E-02	
4.2E-6	2.08E+00	1.12E-02	
4.225E-6	2.08E+00	1.12E-02	
4.25E-6	2.08E+00	1.12E-02	
4.275E-6	2.08E+00	1.12E-02	
4.3E-6	2.08E+00	1.12E-02	
4.325E-6	2.08E+00	1.12E-02	
4.35E-6	2.08E+00	1.12E-02	
